date_time,total_inbound,total_outbound
NULL,423410696192.0,1887992807424.0
NULL,425244131328.0,1864767766528.0
NULL,416710230016.0,1853861658624.0
NULL,416432226304.0,1852631285760.0
NULL,413234135040.0,1810608685056.0
NULL,408320540672.0,1789843996672.0
NULL,406628794368.0,1773893320704.0
NULL,402259181568.0,1747012943872.0
NULL,401698226176.0,1724902801408.0
NULL,393846816768.0,1700923441152.0
NULL,388014243840.0,1685260861440.0
NULL,377988317184.0,1651452018688.0
NULL,376235393024.0,1633836597248.0
NULL,372471300096.0,1620319666176.0
NULL,368562274304.0,1590915497984.0
NULL,361364455424.0,1556178665472.0
NULL,353387544576.0,1534033264640.0
NULL,350711283712.0,1523317997568.0
NULL,339827425280.0,1491614564352.0
NULL,333219823616.0,1454368620544.0
NULL,326654820352.0,1427766771712.0
NULL,320573898752.0,1407401721856.0
NULL,319688966144.0,1394031460352.0
NULL,313294848000.0,1351712899072.0
NULL,311304290304.0,1334551773184.0
NULL,303418212352.0,1296658726912.0
NULL,299103125504.0,1280311164928.0
NULL,288816332800.0,1248609697792.0
NULL,285246423040.0,1221941919744.0
NULL,280916459520.0,1195884675072.0
NULL,273473093632.0,1169483497472.0
NULL,272512253952.0,1145840992256.0
NULL,265886515200.0,1106831605760.0
NULL,262687834112.0,1081799147520.0
NULL,257071693824.0,1048006230016.0
NULL,250227523584.0,1017838370816.0
NULL,245400780800.0,989810065408.0
NULL,242795347968.0,965870223360.0
NULL,234098130944.0,938599776256.0
NULL,228546002944.0,918059941888.0
NULL,224212254720.0,893181820928.0
NULL,217694978048.0,864741556224.0
NULL,215074717696.0,840746008576.0
NULL,209941168128.0,819414695936.0
NULL,205749534720.0,807424425984.0
NULL,199687110656.0,790415736832.0
NULL,196326522880.0,780892635136.0
NULL,189850861568.0,751509438464.0
NULL,188454551552.0,743941341184.0
NULL,186130382848.0,732114976768.0
NULL,181973008384.0,714183999488.0
NULL,177249763328.0,695368548352.0
NULL,172456869888.0,671961186304.0
NULL,168874835968.0,656734355456.0
NULL,167391248384.0,651872894976.0
NULL,163097509888.0,643532193792.0
NULL,162516369408.0,629069447168.0
NULL,158003167232.0,604920283136.0
NULL,156167782400.0,599999053824.0
NULL,150968303616.0,592528801792.0
NULL,146538840064.0,577835958272.0
NULL,144005365760.0,562637438976.0
NULL,141112721408.0,558245543936.0
NULL,134993895424.0,540756312064.0
NULL,134126239744.0,533357821952.0
NULL,132839579648.0,520970928128.0
NULL,131358638080.0,513410334720.0
NULL,127830401024.0,499990200320.0
NULL,126573363200.0,493075070976.0
NULL,125851852800.0,491722506240.0
NULL,122676731904.0,473430949888.0
NULL,119566114816.0,466065719296.0
NULL,117899853824.0,461707837440.0
NULL,118818816000.0,452707057664.0
NULL,117593628672.0,450848555008.0
NULL,114734620672.0,439617290240.0
NULL,115621625856.0,439616110592.0
NULL,112868786176.0,435336937472.0
NULL,112332087296.0,437251506176.0
NULL,110614896640.0,431705849856.0
NULL,110125408256.0,424104001536.0
NULL,107120623616.0,424272461824.0
NULL,103462551552.0,411838185472.0
NULL,103469391872.0,411245314048.0
NULL,101838438400.0,407493869568.0
NULL,102398353408.0,409001295872.0
NULL,102096904192.0,404924203008.0
NULL,100024885248.0,401073963008.0
NULL,98680717312.0,403886080000.0
NULL,99758882816.0,408007016448.0
NULL,99025723392.0,404792213504.0
NULL,102572187648.0,417437974528.0
NULL,104229085184.0,420483629056.0
NULL,104997666816.0,418406006784.0
NULL,104851038208.0,423097139200.0
NULL,107182759936.0,429132611584.0
NULL,107455602688.0,431161638912.0
NULL,109003669504.0,445409230848.0
NULL,109289947136.0,446188453888.0
NULL,110584569856.0,455362117632.0
NULL,111251701760.0,463523741696.0
NULL,112030343168.0,474834370560.0
NULL,115213426688.0,480018595840.0
NULL,121328435200.0,510646976512.0
NULL,124446720000.0,513967587328.0
NULL,127169142784.0,531471958016.0
NULL,131052167168.0,547514286080.0
NULL,133992030208.0,565983182848.0
NULL,136308457472.0,570925383680.0
NULL,141156777984.0,577957396480.0
NULL,144112074752.0,576032210944.0
NULL,147933200384.0,591579512832.0
NULL,149809479680.0,601348833280.0
NULL,153745178624.0,618145382400.0
NULL,92432801792.0,391359135744.0
NULL,95492071424.0,404034125824.0
NULL,168457322496.0,670081089536.0
NULL,167936884736.0,675815292928.0
NULL,173217644544.0,696448843776.0
NULL,174694105088.0,698673004544.0
NULL,178276057088.0,714688036864.0
NULL,184547737600.0,740607852544.0
NULL,187585478656.0,747637506048.0
NULL,190882824192.0,757349089280.0
NULL,193572651008.0,767325372416.0
NULL,196565876736.0,787088670720.0
NULL,200252358656.0,803992895488.0
NULL,210847842304.0,853554167808.0
NULL,216848154624.0,877068550144.0
NULL,220987539456.0,894869110784.0
NULL,225633370112.0,916522008576.0
NULL,233026273280.0,948813103104.0
NULL,238714617856.0,977681907712.0
NULL,255882133504.0,1042529058816.0
NULL,264391966720.0,1093444435968.0
NULL,268363677696.0,1114768932864.0
NULL,275838861312.0,1142202695680.0
NULL,282833256448.0,1166450622464.0
NULL,286095638528.0,1183883067392.0
NULL,302032617472.0,1245781032960.0
NULL,308599357440.0,1280061997056.0
NULL,314537246720.0,1309636427776.0
NULL,312861753344.0,1305662455808.0
NULL,314206814208.0,1321838968832.0
NULL,317535584256.0,1333091500032.0
NULL,322634776576.0,1354442866688.0
NULL,324770070528.0,1370576388096.0
NULL,324596170752.0,1372600401920.0
NULL,327071039488.0,1378962505728.0
NULL,329044623360.0,1381830361088.0
